subject,model,n_windows,threshold,accuracy,balanced_accuracy,macro_f1,stress_precision,stress_recall,stress_f1,roc_auc,pr_auc,brier_score,log_loss,ece,fit_seconds,desktop_latency_ms,parameter_count,artifact_bytes
S8,Logistic Regression,115,0.5,0.9826086956521739,0.975609756097561,0.9808333333333333,1.0,0.9512195121951219,0.975,0.9983520105471325,0.9973488865323435,0.0149397789432924,0.07610858992819093,0.015473540518728832,0.12187280005309731,0.13811999815516174,277,2929
S8,Random Forest,115,0.5,0.991304347826087,0.9932432432432432,0.9905745430702402,0.9761904761904762,1.0,0.9879518072289156,0.9996704021094265,0.9994192799070849,0.011144734299516908,0.064293373998054,0.05043478260869571,10.467102300026454,28.641284996410832,55600,4541702
S8,MLP,115,0.5,0.991304347826087,0.9878048780487805,0.9904714557958405,1.0,0.975609756097561,0.9876543209876543,0.9996704021094265,0.9994192799070848,0.008219287917321159,0.029104831425786987,0.021983379023573637,6.5884103999705985,5.898199998773634,19874,79496
S8,1D-CNN,115,0.5,0.991304347826087,0.9878048780487805,0.9904714557958405,1.0,0.975609756097561,0.9876543209876543,1.0,1.0,0.006001639555061089,0.024859858497074942,0.01214396642039493,7.229287400026806,8.348379994276911,6466,25864
S8,LSTM,115,0.5,0.9826086956521739,0.9864864864864865,0.981245923026745,0.9534883720930233,1.0,0.9761904761904762,1.0,1.0,0.00944297345648609,0.02986932828644625,0.020972654649623397,21.132008000044152,144.9244000017643,36066,144264
S9,Logistic Regression,116,0.5,0.9051724137931034,0.8625,0.8865475237841202,1.0,0.725,0.8405797101449275,0.9904605263157895,0.9847238255767424,0.08369211337944256,0.4632335380844501,0.1004755509770264,0.08691080007702112,0.059794995468109846,277,2929
S9,Random Forest,116,0.5,0.9741379310344828,0.9625,0.9708420611646418,1.0,0.925,0.961038961038961,1.0,1.0,0.03115019157088123,0.1140659910499,0.07833333333333334,10.892701800097711,36.895154998637736,45852,3761772
S9,MLP,116,0.5,0.9224137931034483,0.8875,0.9086694077508529,1.0,0.775,0.8732394366197183,0.9967105263157894,0.9942696182396608,0.047243054684486,0.1512441018827889,0.06693251323114595,7.299807299976237,6.656939996173605,19874,79496
S9,1D-CNN,116,0.5,0.9482758620689655,0.925,0.9404721176873077,1.0,0.85,0.918918918918919,0.9911184210526316,0.9864849624060151,0.05066270959455356,0.18115664280031726,0.06958747627216108,8.008584999945015,9.858459996758029,6466,25864
S9,LSTM,116,0.5,0.9310344827586207,0.9,0.9194444444444444,1.0,0.8,0.8888888888888888,0.9993421052631578,0.998765243902439,0.05619316708393371,0.21075257640759829,0.06625250452157944,20.205523100099526,104.29991999990307,36066,144264
S10,Logistic Regression,121,0.5,0.9256198347107438,0.9407894736842105,0.9230769230769231,0.8333333333333334,1.0,0.9090909090909091,0.9921052631578947,0.9875182341546,0.05630852180054604,0.19144065309400043,0.06535292330052944,0.1525386000284925,0.15123499906621873,277,2929
S10,Random Forest,121,0.5,0.859504132231405,0.8201754385964912,0.8380952380952381,0.9375,0.6666666666666666,0.7792207792207793,0.970906432748538,0.946570498097184,0.10089054178145086,0.34301585253563327,0.14203856749311297,10.325661799986847,26.306780002778396,51324,4199586
S10,MLP,121,0.5,0.9173553719008265,0.9251461988304094,0.9136700913242009,0.8431372549019608,0.9555555555555556,0.8958333333333334,0.9894736842105263,0.9847390165411446,0.0634470302192637,0.1908236985163451,0.07087438355598151,8.676743400050327,4.7578750003594905,19874,79496
